catchment	stream	Cacoides	Progomphus	Epigomphus	Dythemis	Macrothemis	Heteragrion	Hetaerina	Argia	Heliocharis	Campylocia	Farrodes	Ulmeritoides	Thraulodes	Askola	Massartella	Hylister	Hagenulopsis	Cloeodes	Aturbina	Camelobaetidius	Baetodes	Americabaetis	Zelusia	Callibaetis	Traverhyphes	Tricorythodes	Tricorythopsis	Simothraulopsis	Leptohyphes	Caenis	Gripopteryx	Anacroneuria	Enderleina	Kempnyia	Macrogynoplax	Guaranyperla	Laccodytes	Psephenus	Phanocerus	Austrolimnius	Promoresia	Xenelmis	Hexacylloepus	Heterelmis	Macrelmis	Genus_A_Disersus	Hexanchorus	Microcylloepus	Stegoelmis	Huleechius	Neoelmis	Cylloepus	Gyrelmis	Ptilodactylidae_sp	Helicopsyche	Austrotinodes	Atopsyche	Phylloicus	Xiphocentron	Contulma	Marilia	Mortoniella	Protoptila	Chimarra	Wormaldia	Neotrichia	Hydroptila	Oxyethira	Leucotrichia	Metrichia	Alisotrichia	Leptonema	Smicridea	Macrostemum	Macronema	Blepharopus	Triplectides	Nectopsyche	Oecetis	Cernotina	Cyrnellus	Polyplectropus	Corydalus
1	1.1	0	0	0	1	0	0	0	0	0	0	58	3	0	0	0	12	6	0	23	2	0	10	7	0	12	0	15	0	0	0	0	16	0	0	0	0	0	25	0	16	0	0	14	2	1	5	0	2	0	12	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
1	1.2	0	14	0	0	0	0	0	4	0	14	3	0	0	0	0	0	10	0	0	0	0	1	1	0	0	0	3	0	0	0	0	1	0	2	2	0	0	3	0	2	0	0	44	2	0	0	0	0	0	0	6	1	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	10	0	0	1	2	7	0	0	0	1	0
1	1.3	0	4	0	0	0	0	0	3	0	5	26	0	0	0	0	0	14	0	0	0	3	2	10	0	4	0	2	0	0	0	3	13	0	5	0	0	0	26	0	21	0	2	5	11	0	16	0	0	0	0	11	2	0	0	1	4	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	3	30	0	0	4	0	0	0	0	0	2	4
1	1.4	0	4	0	1	0	0	0	1	0	5	4	0	0	0	0	0	12	0	0	0	0	19	4	0	3	0	7	0	0	0	6	4	0	10	0	0	0	2	1	8	0	0	3	37	1	4	0	0	0	0	37	7	0	0	0	0	1	1	0	0	0	0	0	0	0	13	0	0	0	0	0	13	113	0	0	6	0	0	0	0	0	0	0
1	1.5	0	0	0	0	0	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0	1	1	0	0	0	28	0	1	0	0	0	0	96	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	85	0	0	1	0	0	0	0	0	0	0
2	2.1	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	5	0	0	0	0	2	3	0	0	0	23	12	0	3	2	0	0	4	3	6	0	4	23	22	0	4	0	0	0	0	13	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	53	0	0	0	0	0	0	1	0	0	2
2	2.2	0	2	0	0	0	0	0	3	0	0	7	0	0	0	0	0	132	5	0	1	22	13	35	0	20	0	4	0	0	0	3	13	0	3	3	0	0	11	0	8	0	7	23	34	1	14	0	0	3	0	10	0	0	0	0	6	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	67	0	0	4	1	1	0	0	0	0	1
2	2.3	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	43	23	0	0	0	0	0	2	0	0	0	2	0	0	0	2	13	0	2	4	1	0	16	0	16	0	0	43	13	1	23	0	0	0	0	50	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	23	0	0	4	0	0	0	0	0	0	0
2	2.4	0	2	0	1	0	0	0	0	1	12	18	0	2	0	4	12	45	0	0	0	10	0	2	0	0	0	2	0	0	3	13	23	0	0	2	0	0	6	0	8	0	0	5	7	0	8	0	0	0	0	8	2	0	0	8	2	0	4	0	0	0	0	4	2	1	0	0	0	0	0	0	15	9	0	0	0	0	1	0	0	0	0	0
2	2.5	0	10	0	1	0	1	0	0	0	17	12	0	0	0	0	11	30	0	0	0	0	0	7	0	2	0	0	0	0	0	7	32	0	2	0	0	0	5	0	7	0	0	3	1	0	7	0	0	0	0	7	1	0	0	3	0	2	3	0	0	0	1	0	2	0	0	0	0	0	0	0	12	15	0	0	10	1	9	1	0	0	0	0
3	3.1	0	1	0	0	0	0	5	0	0	0	50	0	0	0	0	0	0	0	0	0	0	8	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	1	0	1	0	1	0	19	0	0	0	0	0	0	11	1	0	0	0	6	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	60	0	0	0	1	0	0	0	0	0	0
3	3.2	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0
3	3.3	0	0	0	2	0	4	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	1
3	3.4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	88	0	0	0	0	0	0	0	1	0	0
3	3.5	0	0	0	0	0	0	0	9	0	0	134	0	0	0	0	2	0	0	0	0	4	15	0	0	2	0	3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0
4	4.1	0	0	0	0	0	2	0	2	0	4	0	0	0	0	26	0	0	1	0	0	0	5	3	0	0	0	0	0	0	0	6	14	0	0	0	0	0	14	0	0	0	0	7	1	0	0	0	0	0	0	9	2	0	0	2	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	4	0	0	0	0	0	0
4	4.2	0	0	0	6	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	1	0	0	0	0	1	2
