species	length_width_observed	size_class	functional_group	life_form	attachment
Achnanthes_inflata_type1	3.78	5	low	non_col	unattached
Achnanthes_inflata_type2	3.47	5	low	non_col	unattached
Achnanthes_sp1_BR10.5	4.11	1	low	non_col	unattached
Achnanthes_sp2_BR1	7.08	2	low	non_col	unattached
Achnanthidium_caledonicum	7.72	1	low	non_col	prostrate
Achnanthidium_catenatum	3.64	1	high	non_col	unattached
Achnanthidium_exigum	2.33	2	low	non_col	unattached
Achnanthidium_minutissimum	3.67	1	low	non_col	prostrate
Achnanthidium_modestiforme	2.73	1	low	non_col	prostrate
Achnanthidium_parexigua	2.63	2	low	non_col	unattached
Achnanthidium_sp1	5.4	1	low	non_col	prostrate
Achnanthidium_sp10	4.5	1	low	non_col	prostrate
Achnanthidium_sp2_BR11.4	3.92	1	low	non_col	prostrate
Achnanthidium_sp3_BR15	3.44	1	low	non_col	prostrate
Achnanthidium_sp4_BR10.1	2.27	2	low	non_col	prostrate
Achnanthidium_sp5_BR18.4	2.05	1	low	non_col	prostrate
Achnanthidium_sp6_BR10.2	2.68	1	low	non_col	prostrate
Achnanthidium_sp7_BR2.2	2.6	1	low	non_col	prostrate
Achnanthidium_sp8_BR11.3	2.42	1	low	non_col	prostrate
Achnanthidium_sp9	4.29	1	low	non_col	prostrate
Achnanthidium_tropicatenatum	5.21	1	high	non_col	unattached
Actinella_hermes.moreirae	6	2	low	col	unattached
Actinella_sp1	5.2	2	low	col	unattached
Amphipleura_lindheimeri	9	5	high	col	tube_forming
Amphora_bicapitata	5.5	5	low	non_col	unattached
Amphora_copulata	3.5	5	low	non_col	prostrate
Amphora_pediculus	4	1	low	non_col	prostrate
Aneumastus_sp1	3.3	5	motile	non_col	unattached
Aneumastus_sp2	5	5	motile	non_col	unattached
Aulacoseira_ambigua	1.4	4	planktonic	col	unattached
Aulacoseira_herzogi	2.1	2	planktonic	col	unattached
Aulacoseira_laevissima	0.5	1	planktonic	col	unattached
Aulacoseira_sp1	0.4	2	planktonic	col	unattached
Aulacoseira_tenella	0.3	1	planktonic	col	unattached
Brachysira_brebissoni	4.69	2	low	non_col	unattached
Brachysira_microcephala	5.58	1	low	non_col	unattached
Brachysira_serians	3.43	4	low	non_col	unattached
Brachysira_sp1	4.69	2	low	non_col	unattached
Brachysira_sp2	5.33	2	low	non_col	unattached
Caloneis_bacillum_type1	4.87	3	motile	non_col	prostrate
Caloneis_bacillum_type2	4.68	3	motile	non_col	prostrate
Caloneis_hyalina	4.94	3	motile	non_col	prostrate
Caloneis_sp1	6.67	3	motile	non_col	prostrate
Caloneis_sp2	5.33	3	motile	non_col	prostrate
Capartogramma_crucicola	3.29	3	motile	non_col	unattached
Chamaepinnularia_brasilianopsis	3.27	1	motile	non_col	unattached
Chamaepinnularia_sp1	4.39	1	motile	non_col	unattached
