id_thiago,watershed,stream,length,buf_area_m2,avg_slope,Agriculture,Bare.Soil,Forest,Mining,Mixed,Pasture,Planted.Forests,Secondary.Forest,Urban,Water
6,1,1.1,1285,1466550.262,0.149433696,0.233315339,0,0.360398443,0,0,0,0.406285536,0,0,0
7,1,1.2,1166,1410123.534,0.171884897,0.321050395,0,0.367280861,0,0,0,0.311668744,0,0,0
8,1,1.3,1228,1475754.125,0.173280395,0.346137083,0,0.363557824,0,0,0,0.290296961,0,0,0
9,1,1.4,1313,1503523.481,0.153726152,0.293163474,0,0.361474607,0,0,0,0.345361919,0,0,0
10,1,1.5,1103,1360447.217,0.152048451,0.389692083,0,0.324161679,0,0,0,0.286146238,0,0,0
11,2,2.1,1268,1428796.135,0.319451693,0,0,1,0,0,0,0,0,0,0
12,2,2.2,1297,1480362.421,0.219324636,0,0,1,0,0,0,0,0,0,0
13,2,2.3,1191,1436209.689,0.259115646,0,0,1,0,0,0,0,0,0,0
14,2,2.4,1097,1362832.085,0.2605457,0,0,1,0,0,0,0,0,0,0
15,2,2.5,1899,1781092.426,0.281986827,0,0,0.991371239,0,0,0.004420324,0.004665396,0,0,0
16,3,3.1,1164,1371201.815,0.203882479,0.014643856,0,0.495830112,0,0.047502534,0,0.442024484,0,0,0.002198801
17,3,3.2,1079,1346975.676,0.234117084,0.109483091,0,0.761275534,0,0.000196394,0,0.129068675,0,0,0
18,3,3.3,1154,1367414.238,0.155101843,0.441350751,0,0,0,0,0,0.093137386,0.465486442,0,0
19,3,3.4,1344,1538239.542,0.174310657,0.774071906,0,0.00424539,0,0,0,0,0.221676017,0,0
20,3,3.5,1206,1429470.678,0.164598369,0.721541532,0,0.058686336,0,0,0,0,0.219789665,0,0
21,4,4.1,1268,1497445.755,0.191950532,0.101081039,0,0.624586009,0,0,0.025697759,0.292333833,4.22E-05,0,0
22,4,4.2,1050,1319600.766,0.299036572,5.59E-05,0,0.587231577,0,0,0.320764164,0.028562784,0,0,0
23,4,4.3,998,1278443.725,0.180142435,0.224564698,0,0.664174298,0,0,0.030099878,0.093138809,0.039288215,0,0
24,4,4.4,1169,1373748.42,0.326159513,0,0,0.400184233,0,0,0,0.599815767,0,0,0
25,4,4.5,1174,1394081.858,0.315379584,0,0,0.339365716,0,0,0,0.660634284,0,0,0
26,5,5.1,1236,1473120.029,0.137667206,0.010514233,0,0.21055969,0,0,0.08118427,0.622619126,0.075115893,0,0
27,5,5.2,747,1059186.919,0.143555718,0,0,0.182917377,0,0,0.096072342,0.611404177,0.109596662,0,0
28,5,5.3,1321,1481325.394,0.144000828,0.421625236,0,0.014740527,0,0,0,0.398537445,0.165150325,0,0
29,5,5.4,1079,1319568.476,0.146353697,0.247716007,0,0.19816224,0,0,0,0.497986539,0.05606406,0,0
30,5,5.5,1273,1455779.914,0.178895111,0,0,0.247947271,0,0,0,0.752052729,0,0,0
31,6,6.1,1275,1490764.366,0.116184561,0,0,0.558222709,0,0,0.199106175,0.242671116,0,0,0
32,6,6.2,1043,1270879.119,0.114674516,0,0,0.546331351,0,0,0.082699091,0.370969557,0,0,0
35,6,6.3,1350,1475171.302,0.202928775,0,0,0.88759568,0,0,0.11240432,0.127251662,0,0,0
33,6,6.4,976,1262304.184,0.183741521,0,0,0.664369431,0,0,0.335611557,0,0,0,0
34,6,6.5,1198,1386792.204,0.183491993,0,0,0.329719145,0,0,0,0.67025778,0,0,0
36,7,7.1,1251,1482157.71,0.138746862,0.579057698,0,0.324523343,0,0,0,0.073274246,0.022005353,0.001139361,0
37,7,7.2,1181,1394869.182,0.165986708,0.601553694,0,0.125902331,0,0,0,0.228060325,0.036900143,0,0.007583507
38,7,7.3,1219,1456941.044,0.151254353,0.573814382,0,0.167634653,0,0,0,0.085910512,0.172633589,0,0
39,7,7.4,1088,1333297.26,0.163752848,0.254568975,0,0.684052485,0,0,0,0.06137854,0,0,0
40,7,7.5,1159,1371769.296,0.223598515,0.597509027,0,0.402489515,0,0,0,0,0,0,0
41,8,8.1,1318,1490805.082,0.144250397,0.630236424,0,0.116396232,0,0,0,0.253367344,0,0,0
42,8,8.2,1253,1418211.586,0.131598622,0.679498544,0,0.239051745,0,0,0,0.081449711,0,0,0
43,8,8.3,1104,1379911.434,0.129460192,0.754288256,0,0.180994505,0,0,0,0,0,0.064717239,0
44,8,8.4,1276,1490780.605,0.142915826,0.717222156,0,0.282777844,0,0,0,0.014076518,0,0,0
45,8,8.5,1235,1458666.237,0.159945991,0.610429553,0,0.349258512,0,0,0,0.034774391,0,0,0.005537543
46,9,9.1,1211,1461032.354,0.171382631,0.473122519,0,0.209956723,0,0,0,0.034329465,0.290598644,0,0.005955378
47,9,9.2,1190,1445133.83,0.169339678,0.510653112,0,0.184078765,0,0,0,0.031919455,0.281440652,0,0.006020896
48,9,9.3,1159,1425181.825,0.163423922,0.005403475,0,0.361128272,0,0,0,0.482872978,0.150577734,0,0
50,9,9.4,1326,1465196.405,0.187329685,0.127286368,0,0.456708416,0,0,0,0.233403384,0.182601832,0,0
49,9,9.5,1250,1478246.884,0.183668429,0.064470931,0,0.496013951,0,0,0,0.295424712,0.1440762,0,0
51,10,10.1,1328,1484680.481,0.141127936,0.507875694,0,0,0,0,0,0.051338575,0.088839042,0.351944535,0
52,10,10.2,1156,1414569.129,0.227558816,0.300343209,0,0.086332639,0,0,0.172248168,0.345147846,0.09592531,0,0
53,10,10.3,1134,1334110.352,0.135125699,0.523643649,0,0,0,0,0,0.036919217,0.108149974,0.33128716,0
54,10,10.4,1126,1364845.253,0.234890026,0.219107706,0,0.042625834,0,0,0.044226567,0.536930549,0.157086762,0,0
55,10,10.5,1150,1373154.754,0.191971744,0,0,0,0,0,0.272206617,0.400248534,0.327481625,0,0
56,11,11.1,1265,1477860.332,0.252133794,0.096348484,0,0.351632525,0,0.009064021,0.120067173,0,0.415175154,0,0.007712643
57,11,11.2,1132,1323973.857,0.243400526,0.17914298,0,0.288155861,0,0,0.182084658,0,0.350614991,0,0
58,11,11.3,1214,1430318.215,0.259009332,0.367741145,0,0.386399265,0,0,0.139555753,0.003597801,0.069051287,0.016864079,0.016789271
59,11,11.4,1218,1424306.188,0.1877403,0,0,0.652357161,0,0,0.111695535,0.000150576,0.227151115,0,0.008645613
60,11,11.5,1183,1404060.282,0.193615706,0,0,0.450675083,0,0,0.06226694,0.088840431,0.311193175,0.087024371,0
61,12,12.1,1278,1514403.106,0.257127886,0,0,1,0,0,0,0,0,0,0
62,12,12.2,1190,1441516.82,0.230834578,0,0,0.91829457,0,0,0,0,0.075920591,0,0.005784839
63,12,12.3,1104,1382771.813,0.27903657,0,0,1,0,0,0,0,0,0,0
64,12,12.4,1018,1305654.002,0.221542658,0,0,0.664395561,0,0,0.057459327,0,0.201609532,0.03850635,0.03802923
65,12,12.5,1184,1410867.868,0.242478591,0,0,0.992104972,0,0,0,0,0,0,0.007895028
