catchment	stream	width_m	cover_site	mud	sand	gravel	pebble	cobble	boulders	vel	depth_cm	temp	pH	cond	turb	do_mg	do_porc	salinity	nitro	phos	lat	lon
1	1	4.033333333	56.66666667	0	21.66666667	18.33333333	31.66666667	28.33333333	0	0.244444444	14.55555556	16.82333333	6.07	0.020333333	18.83333333	8.93	94.96666667	0	0.073333333	11.49	-24.075335	-48.062852
1	2	9.933333333	88.33333333	0	20	23.33333333	28.33333333	18.33333333	10	0.144444444	10	17.76333333	6.073333333	0.027	9.866666667	9.046666667	98	0	0.073333333	12.59333333	-24.087662	-48.082077
1	3	4.033333333	60	0	3.333333333	6.666666667	23.33333333	43.33333333	23.33333333	0.311111111	12.44444444	17.55	5.986666667	0.023333333	0	9.066666667	97.83333333	0	0.156666667	11.35333333	-24.094038	-48.071756
1	4	1.833333333	95	0	16.66666667	13.33333333	20	50	0	0.155555556	10.77777778	17.18333333	6.163333333	0.026	2.166666667	9.036666667	96.86666667	0	0.123333333	10.14333333	-24.087853	-48.078939
1	5	2.033333333	73.33333333	0	6.666666667	13.33333333	23.33333333	36.66666667	20	0.177777778	11	18.55	6.15	0.030333333	14.5	8.03	88.36666667	0	0.146666667	12.27333333	-24.074526	-48.061205
2	1	3.433333333	90	0	8.333333333	13.33333333	21.66666667	16.66666667	40	0.311111111	16.55555556	15.57333333	6.396666667	0.027	7.133333333	9.086666667	94.23333333	0	0.153333333	9.966666667	-24.088902	-47.993792
2	2	7.8	66.66666667	0	3.333333333	13.33333333	28.33333333	40	15	0.244444444	16.11111111	15.32666667	6.19	0.029666667	2.866666667	8.796666667	90.73333333	0	0.086666667	7.336666667	-24.108266	-47.98533
2	3	1.8	93.33333333	0	15	18.33333333	38.33333333	25	3.333333333	0.188888889	11.88888889	17.11666667	6.443333333	0.042666667	2.3	9.453333333	101.1	0	0.093333333	11.61666667	-24.078599	-47.97641
2	4	2.8	90	0	5	6.666666667	31.66666667	33.33333333	23.33333333	0.233333333	10.11111111	16.45333333	6.48	0.025333333	4.066666667	9.11	96.13333333	0	0.086666667	8.08	-24.07531313	-47.97893729
2	5	2.233333333	88.33333333	0	10	13.33333333	26.66666667	40	10	0.288888889	6	16.93	6.596666667	0.036	4.4	8.506666667	90.63333333	0	0.136666667	12.60333333	-24.069941	-47.98731
3	1	1.806666667	60	0	21.66666667	13.33333333	28.33333333	30	6.666666667	0.155555556	11.88888889	17.01666667	6.53	0.029	8.8	8.59	91.7	0	0.086666667	15.38	-24.041532	-47.968373
3	2	1.94	61.66666667	0	3.333333333	3.333333333	8.333333333	31.66666667	53.33333333	0.144444444	14.22222222	15.81666667	6.59	0.034	7.7	8.013333333	83.5	0	0.086666667	8.866666667	-24.048014	-47.974637
3	3	1.743333333	75	0	5	3.333333333	10	35	46.66666667	0.155555556	8.666666667	16.96666667	6.356666667	0.045	6.633333333	7.773333333	82.93333333	0	0.12	12.43	-24.017742	-47.98544
3	4	1.933333333	50	0	58.33333333	10	21.66666667	10	0	0.2	9.111111111	18.2	6.633333333	0.044666667	2.966666667	8.063333333	88.16666667	0	0.07	18.27666667	-24.019063	-48.007566
3	5	3.1	63.33333333	0	1.666666667	8.333333333	18.33333333	41.66666667	30	0.311111111	15.11111111	17.99333333	6.456666667	0.034	5	8.253333333	89.8	0	0.066666667	13.91	-24.016062	-48.004492
4	1	1.9	66.66666667	0	15	11.66666667	21.66666667	45	6.666666667	0.155555556	8	16.33666667	6.52	0.021333333	0.966666667	9.013333333	94.9	0	0.106666667	1.833333333	-24.107491	-48.161372
4	2	1.82	66.66666667	10	5	6.666666667	16.66666667	35	6.666666667	0.166666667	6.666666667	17.30666667	6.326666667	0.028	4.8	8.006666667	85.93333333	0	0.086666667	6.11	-24.111792	-48.153129
4	3	1.506666667	66.66666667	0	0	18.33333333	33.33333333	33.33333333	15	0.166666667	7.111111111	18.68333333	5.933333333	0.026666667	0	6.56	72.3	0	0.07	4.413333333	-24.111007	-48.165339
4	4	2.233333333	85	0	1.666666667	10	16.66666667	53.33333333	18.33333333	0.233333333	12.11111111	15.81333333	6.39	0.038666667	12.86666667	8.476666667	88.3	0	0.113333333	11.31	-24.087884	-48.128648
4	5	1.973333333	93.33333333	0	0	8.333333333	16.66666667	71.66666667	3.333333333	0.166666667	10.77777778	15.52333333	6.29	0.039	23.93333333	8.933333333	92.5	0	0.123333333	20.67	-24.087938	-48.129985
5	1	2.15	83.33333333	0	25	20	20	35	0	0.166666667	19.44444444	17.38	5.78	0.029	14.23333333	8.706666667	93.63333333	0	0.146666667	10.03333333	-23.941497	-47.852166
5	2	1.743333333	75	0	5	5	13.33333333	30	46.66666667	0.133333333	6.777777778	18.13333333	5.69	0.03	3.533333333	6.873333333	75.03333333	0	0.08	4.833333333	-23.941152	-47.85173
5	3	1.65	81.66666667	0	1.666666667	3.333333333	10	50	35	0.177777778	10.33333333	15.77333333	6.33	0.053333333	23.33333333	9.39	97.76666667	0	0.193333333	48.60333333	-23.879466	-47.814084
5	4	1.5	76.66666667	0	40	8.333333333	11.66666667	40	0	0.244444444	6.333333333	16.4	6.696666667	0.06	15.06666667	7.66	80.76666667	0	0.07	26.26	-23.884895	-47.817769
5	5	2.166666667	75	0	3.333333333	6.666666667	20	53.33333333	16.66666667	0.277777778	9.333333333	16.1	6.68	0.029666667	0.266666667	8.366666667	87.66666667	0	0.046666667	3.243333333	-23.908221	-47.8303
6	1	1.75	76.66666667	0	48.33333333	5	6.666666667	40	0	0.166666667	28.33333333	18.52333333	6.12	0.027333333	1.8	8.036666667	88.3	0	0.06	7.593333333	-23.967484	-47.830708
6	2	1.866666667	48.33333333	0	13.33333333	10	13.33333333	41.66666667	21.66666667	0.4	16.77777778	18.09	6.153333333	0.018333333	0	9.12	99.46666667	0	0.07	5.59	-23.968485	-47.830189
6	3	2.4	76.66666667	0	13.33333333	16.66666667	18.33333333	28.33333333	23.33333333	0.155555556	24.66666667	17.61	6.23	0.026	2.933333333	8.56	92.43333333	0	0.086666667	7.58	-23.97536962	-47.81572819
6	4	2.666666667	38.33333333	0	10.66666667	6	21.66666667	40	21.66666667	0.2	22.88888889	17.57666667	6.07	0.022333333	1.933333333	7.69	83.03333333	0	0.066666667	4.546666667	-23.972503	-47.821837
6	5	1.7	53.33333333	0	11.66666667	10	21.66666667	40	16.66666667	0.222222222	14.11111111	17.35666667	6.216666667	0.039	17	7.863333333	84.56666667	0	0.08	4.383333333	-23.989518	-47.845017
7	1	1.84	55	0	30	13.33333333	16.66666667	40	0	0.211111111	11.55555556	17.21666667	6.273333333	0.043	0	9.3	99.7	0	0.093333333	3.433333333	-24.077349	-48.190734
7	2	1.833333333	73.33333333	0	13.33333333	11.66666667	23.33333333	45	6.666666667	0.133333333	4	17.34333333	6.793333333	0.05	6.4	6.883333333	74	0	0.106666667	15.79	-24.073475	-48.176038
7	3	1.833333333	81.66666667	0	30	11.66666667	26.66666667	31.66666667	0	0.177777778	4.222222222	18.99	6.79	0.048666667	6.166666667	8.013333333	88.86666667	0	0.116666667	13.69333333	-24.076043	-48.183311
7	4	2.873333333	61.66666667	0	15	10	21.66666667	38.33333333	15	0.211111111	10.77777778	20.32333333	6.723333333	0.027333333	21.43333333	8.503333333	96.73333333	0	0.11	18.85666667	-24.064133	-48.189048
7	5	2.276666667	90	0	21.66666667	13.33333333	21.66666667	31.66666667	11.66666667	0.188888889	8.333333333	21.93333333	6.546666667	0.030666667	27.1	6.976666667	81.66666667	0	0.123333333	5.516666667	-24.077289	-48.212135
8	1	2.266666667	86.66666667	2.777777778	38.33333333	2.333333333	2.666666667	21.66666667	26.66666667	0.1	19.33333333	17.68666667	6.523333333	0.041333333	5.533333333	8.686666667	93.93333333	0	0.113333333	11.19666667	-24.000595	-48.1064
8	2	1.2	46.66666667	22.22222222	15	1.333333333	7.666666667	9.333333333	0	0.233333333	16.66666667	19.58333333	6.596666667	0.071666667	3.833333333	6.626666667	74.36666667	0	0.106666667	17.36666667	-24.002113	-48.097013
8	3	1.483333333	75	0	16.66666667	13.33333333	43.33333333	26.66666667	0	0.388888889	8.444444444	20.59333333	6.346666667	0.018333333	5.633333333	7.05	80.56666667	0	0.07	5.246666667	-24.020392	-48.112876
8	4	1.4	76.66666667	0	38.33333333	13.33333333	28.33333333	13.33333333	6.666666667	0.288888889	7.888888889	20.40333333	6.703333333	0.03	2.8	8.24	93.86666667	0	0.14	12.03333333	-24.026487	-48.096825
