Genus	Sub-family	Family	Super-family	Sub-order	Order
Laccodytes	Laccophilinae	Dytiscidae	Dytiscoidea	Adephaga	Coleoptera
Austrolimnius	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Cylloepus	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Gyrelmis	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Heterelmis	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Hexacylloepus	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Huleechius	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Macrelmis	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Microcylloepus	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Neoelmis	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Promoresia	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Stegoelmis	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Xenelmis	Elminae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Genus_A_Disersus	Larainae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Hexanchorus	Larainae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Phanocerus	Larainae	Elmidae	Byrrhoidea	Polyphaga	Coleoptera
Psephenus	Psepheninae	Psephenidae	Byrrhoidea	Polyphaga	Coleoptera
Ptilodactylidae_sp	Ptilodactylidae-sub	Ptilodactylidae	Byrrhoidea	Polyphaga	Coleoptera
Caenis	Caeninae	Caenidae	Caenoidea	Pannota	Ephemeroptera
Campylocia	Euthyplociinae	Euthyplocidae	Ephemerelloidea	Pannota	Ephemeroptera
Leptohyphes	Leptohyphinae	Leptohyphidae	Ephemerelloidea	Pannota	Ephemeroptera
Traverhyphes	Leptohyphinae	Leptohyphidae	Ephemerelloidea	Pannota	Ephemeroptera
Tricorythodes	Tricorythodinae	Leptohyphidae	Ephemerelloidea	Pannota	Ephemeroptera
Tricorythopsis	Tricorythodinae	Leptohyphidae	Ephemerelloidea	Pannota	Ephemeroptera
Simothraulopsis	Atalophlebiinae	Leptophlebiidae	Leptophlebioidea	Schistonota	Ephemeroptera
Americabaetis	Baetinae	Baetidae	Baetoidea	Schistonota	Ephemeroptera
Aturbina	Baetinae	Baetidae	Baetoidea	Schistonota	Ephemeroptera
Baetodes	Baetinae	Baetidae	Baetoidea	Schistonota	Ephemeroptera
Callibaetis	Baetinae	Baetidae	Baetoidea	Schistonota	Ephemeroptera
Camelobaetidius	Baetinae	Baetidae	Baetoidea	Schistonota	Ephemeroptera
Cloeodes	Baetinae	Baetidae	Baetoidea	Schistonota	Ephemeroptera
Zelusia	Baetinae	Baetidae	Baetoidea	Schistonota	Ephemeroptera
Askola	Atalophlebiinae	Leptophlebiidae	Leptophlebioidea	Schistonota	Ephemeroptera
Farrodes	Atalophlebiinae	Leptophlebiidae	Leptophlebioidea	Schistonota	Ephemeroptera
Hagenulopsis	Atalophlebiinae	Leptophlebiidae	Leptophlebioidea	Schistonota	Ephemeroptera
Hylister	Atalophlebiinae	Leptophlebiidae	Leptophlebioidea	Schistonota	Ephemeroptera
Massartella	Atalophlebiinae	Leptophlebiidae	Leptophlebioidea	Schistonota	Ephemeroptera
Thraulodes	Atalophlebiinae	Leptophlebiidae	Leptophlebioidea	Schistonota	Ephemeroptera
Ulmeritoides	Atalophlebiinae	Leptophlebiidae	Leptophlebioidea	Schistonota	Ephemeroptera
Corydalus	Corydalinae	Corydalidae	Megaloptera_super_fam	Megaloptera_sub_order	Megaloptera
Epigomphus	Epigomphinae	Gomphidae	Gomphoidea	Anisoptera	Odonata
Cacoides	Ictinogomphinae	Gomphidae	Gomphoidea	Anisoptera	Odonata
Progomphus	Ictinogomphinae	Gomphidae	Gomphoidea	Anisoptera	Odonata
Dythemis	Libelluliinae	Libellulidae	Libelluloidea	Anisoptera	Odonata
Macrothemis	Libelluliinae	Libellulidae	Libelluloidea	Anisoptera	Odonata
Hetaerina	Hetaerininae	Calopterygidae	Calopterygoidea	Zygoptera	Odonata
Heliocharis	Dicteriadidae_subfamily	Dicteriadidae	Calopterygoidea	Zygoptera	Odonata
Argia	Argiinae	Coenagrionidae	Coenagrionoidea	Zygoptera	Odonata
Heteragrion	Megapodagrionidae_subfamily	Megapodagrionidae	Lestoidea	Zygoptera	Odonata
Gripopteryx	Gripopteryginae	Gripopterygidae	Gripopterygoidea	Antarctoperlaria	Plecoptera
Guaranyperla	Gripopteryginae	Gripopterygidae	Gripopterygoidea	Antarctoperlaria	Plecoptera
Anacroneuria	Acroneuriinae	Perlidae	Perloidea	Arctoperlaria	Plecoptera
Enderleina	Acroneuriinae	Perlidae	Perloidea	Arctoperlaria	Plecoptera
Kempnyia	Acroneuriinae	Perlidae	Perloidea	Arctoperlaria	Plecoptera
Macrogynoplax	Acroneuriinae	Perlidae	Perloidea	Arctoperlaria	Plecoptera
Austrotinodes	Ecnomidae_subfamily	Ecnomidae	Hydropsychoidea	Annulipalpia	Trichoptera
Blepharopus	Macronematinae	Hydropsichidae	Hydropsychoidea	Annulipalpia	Trichoptera
Leptonema	Macronematinae	Hydropsichidae	Hydropsychoidea	Annulipalpia	Trichoptera
Macronema	Macronematinae	Hydropsichidae	Hydropsychoidea	Annulipalpia	Trichoptera
Macrostemum	Macronematinae	Hydropsichidae	Hydropsychoidea	Annulipalpia	Trichoptera
Smicridea	Smicrideinae	Hydropsichidae	Hydropsychoidea	Annulipalpia	Trichoptera
Cernotina	Polycentropodinae	Polycentropodidae	Hydropsychoidea	Annulipalpia	Trichoptera
Cyrnellus	Polycentropodinae	Polycentropodidae	Hydropsychoidea	Annulipalpia	Trichoptera
