genus	refuge	shape	locomotion	feeding_guild	respiration	size
Alisotrichia	por_shel_wood	not_hydrod	clingers	herbivores	gill	2
Americabaetis	no_ref	hydrod	swimmers	herbivores	gill	2
Anacroneuria	no_ref	hydrod	clingers	predators	gill	3
Argia	no_ref	hydrod	climbers_crawlers	predators	gill	3
Askola	no_ref	hydrod	clingers	coll_gat	gill	1
Atopsyche	no_ref	not_hydrod	clingers	predators	gill	2
Aturbina	no_ref	hydrod	swimmers	coll_gat	gill	1
Austrolimnius	no_ref	not_hydrod	clingers	coll_gat	air	2
Austrotinodes	fix_net	not_hydrod	clingers	herbivores	gill	2
Baetodes	no_ref	hydrod	clingers	herbivores	gill	2
Blepharopus	fix_net	not_hydrod	clingers	coll_filt	gill	2
Cacoides	no_ref	hydrod	burrowers	predators	gill	3
Caenis	no_ref	not_hydrod	sprawlers	coll_gat	gill	1
Callibaetis	no_ref	hydrod	swimmers	coll_gat	gill	2
Camelobaetidius	no_ref	hydrod	clingers	herbivores	gill	1
Campylocia	no_ref	not_hydrod	burrowers	shredders	gill	3
Cernotina	fix_net	not_hydrod	clingers	predators	gill	2
Chimarra	fix_net	not_hydrod	clingers	coll_filt	gill	2
Cloeodes	no_ref	hydrod	swimmers	herbivores	gill	1
Contulma	por_shel_wood	not_hydrod	clingers	herbivores	tegum	1
Corydalus	no_ref	hydrod	clingers	predators	gill	3
Cylloepus	no_ref	not_hydrod	clingers	shredders	gill	2
Cyrnellus	fix_net	not_hydrod	climbers_crawlers	coll_filt	tegum	1
Dythemis	no_ref	hydrod	sprawlers	predators	gill	3
Enderleina	no_ref	hydrod	clingers	predators	gill	2
Epigomphus	no_ref	hydrod	burrowers	predators	gill	3
Farrodes	no_ref	hydrod	clingers	coll_gat	gill	1
Genus_A_Disersus	no_ref	not_hydrod	climbers_crawlers	herbivores	air	2
Gripopteryx	no_ref	not_hydrod	clingers	herbivores	gill	3
Guaranyperla	no_ref	hydrod	clingers	herbivores	gill	2
Gyrelmis	no_ref	not_hydrod	climbers_crawlers	herbivores	air	1
